,beer_name,brew_factory_name,style,abv,unique_id
38,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,38
39,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,39
40,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20 %,40
41,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,41
42,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,42
43,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company,American Strong Ale,8.50 %,43
44,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,44
45,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,,45
46,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,Barley Wine,10 %,46
47,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,6 %,47
48,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,48
49,Fin City Jackspot Amber Ale,Fin City Brewing Company,Amber Ale,5.80 %,49
50,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,50
51,Upland Easy Chair Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,51
52,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,52
53,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50 %,53
54,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,54
55,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,55
56,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Strong Ale,13 %,56
57,Big Bear Mountain Orange Blossom Amber Ale,Big Bear Mountain Brewery,Fruit Beer,4.50 %,57
58,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50 %,58
59,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;,American Strong Ale,7.80 %,59
60,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,60
61,Hillcrest Big Red Balls,Hillcrest Brewing Company,Imperial IPA,8 %,61
62,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,62
63,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,63
64,Big Texan Texas Red Amber Ale,Big Texan Brewery,Amber Ale,4.50 %,64
65,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,9.70 %,65
66,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Midnight Sun Brewing Company,Amber Ale,7.50 %,66
67,Bagby Hop Crop Red Ale,Bagby Beer Company,Amber Ale,5.90 %,67
68,Outpost Mr. Grain Jeans Organic Amber Ale,Lakefront Brewery,Amber Ale,5.50 %,68
69,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,69
70,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,70
71,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,American Strong Ale,8.50 %,71
72,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,72
73,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,73
74,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,74
75,21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery,Barley Wine,9.50 %,75
76,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,76
77,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,77
78,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,,78
79,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,79
80,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,80
81,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,,81
82,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,82
83,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing,Amber Ale,6.40 %,83
84,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,84
85,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5 %,85
86,Worthy Eruption Imperial Red Ale,Worthy Brewing Company,American Strong Ale,8 %,86
87,406 Imperial Red Ale,406 Brewing Company,American Strong Ale,9.20 %,87
88,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,88
89,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,89
90,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,90
