,title,authors,venue,year,unique_id
26,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"l liu , c pu , d buttler , w han , h paques , w tang","proceedings of the 2000 acm sigmod international conference & hellip ; ,",2000.0,26
27,query caching and optimization in mediator systems,"s adali , s candan , y papakonstantinou , vs",acm,,27
28,streaming data over streaming queries,"s chandrasekaran , m franklin",submitted for,,28
29,editors ' notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0,29
30,editorial,"j regnault , r temple","bt technology journal ,",2001.0,30
31,optimizing web queries through semantic caching,"b chidlovskii , c roncancio , ml schneider",,,31
32,"milo , t. , a model for active object oriented databases",c beeri,"proceedings of the 17th int . conference on vldb , barcelona ,",,32
33,guest editorial,"z bankowski , a scott , f snyder","european law journal ,",1998.0,33
34,answering queries with aggregation using views,"s dar , hv jagadish , ay levy , d srivastava","vldb conf. , bombay ,",,34
35,efficient view maintenance in xml data warehouses,"h liefke , sb davidson",,,35
36,simple random sampling from relational databases,"fo or861 , d rotem","proc . of vldb , kyoto , japan , aug ,",,36
37,nonmetric multidimensional scaling .,jb kruskal,,1966.0,37
38,ripple joins for online aggregation,"pj haas , jm hellerstein",,,38
39,efficiency in instantiating objects from relational databases through views,bs lee,,,39
40,computing capabilities of mediators,"r yerneni , c li , h garcia-molina , j ullman","sigmod conference ,",1999.0,40
41,a new approach to the information function in marketing .,gs albaum,,1962.0,41
42,temporal databases - status and research directions,rt snodgrass,"sigmod record ,",1990.0,42
43,niagaracq : a scalable continuous querysystemfor internetdatabases,"j chen , dj dewitt , f tian , y wang","sigmod conference ,",,43
44,a query language and optimization techniques for unstructured dataâ '' in sigmod,"p buneman , s davidson , g hillebrand , d suciu","san diego ,",,44
45,database research at la trobe university,j zeleznikow,"sigmod record ,",1992.0,45
46,mining frequent pattems without candidate generation,"j han , j pei , y yin","prtoceedings of the 2000 acm sigmod international conference & hellip ; ,",,46
47,birch : an efficient data clustering method for very large,"t zhang , r ramakrishnan , m livny",proceedings of acm sigmod international conference,,47
48,efficiellt concurrency control for broadcast environmqmts univ,j shanmugasundaramâ ? ¦,of massachusetts technical report,,48
49,icicles : selftuning samples for approximate query processing,"v ganti , ml lee , r ramakrishnan","proceedings of vldb ,",,49
50,algorithms for materialized view design in data warehousing environment,j yang,"vldb ,",1997.0,50
51,efficient mining of association rules in large dynamic databases,"e omiecinski , a savasere",,,51
52,guarding the data warehouse gate,d radcliff,"computerworld ,",,52
53,data grid management systems,"a rajasekar , a jagatheesan","proceedings of the 2003 acm sigmod international conference & hellip ; ,",,53
54,"indexing and query xml , data for regular path expressions [ a ]",mb li q,"proceedings of the international conference on very large & hellip ; ,",,54
55,microsoft sql server 7.0 administrator 's companion,"j fronckowiak , ms garcia , e whalen",,1999.0,55
56,continuous queries over data streams,"s balu , j widom",,,56
57,scientific journals : extinction or explosion ?,r ramakrishnan,"proceedings of the international conference on very large & hellip ; ,",1995.0,57
58,sampling largc database for association rules,h tovienven,usa : proc of vldb . 1996.134 ~,,58
59,pointer-based join techniques for object-oriented databases,"df lieuwen , dj dewitt , m mehta",,,59
60,data placement in parallel database systems,"s zhou , mh williams",,,60
61,relational databases for querying xml documents : limitations and objectives,"j shanmugasundaram , k tufte , g he , c zhang , d","proceedings of the 25th vldb conference ,",,61
62,cq : a personalized update monitoring toolkit,"l liu , c pu , w tang , d buttler , j biggs , t zhou , w","sigmod conference ,",1998.0,62
63,access path selection 111 a relational database management system,"pg sehnger , mm astrahan , dd chamberhn , ra lone , tg","prcceedmgs of 1979 acm sigmod conference , ( june",,63
64,an analysis of query languages for xml,"ad domãnguez , r baeza-yates",,,64
65,editor 's notes,"dj rog , d fournier","new directions for program evaluation ,",,65
66,guest editorial,lp hunt,,,66
67,acm multimedia '94 conference workshop on multimedia database management systems,pb berra,"sigmod record ,",1995.0,67
68,guest editorial,"pa bernstein , y ioannidis , r ramakrishnan","the vldb journal the international journal on very large & hellip ; ,",2003.0,68
69,keyword search in databases,sv rajnikant,,,69
70,envision : information visualization in a digital library,"lt nowell , ea fox","demonstration . seattle , wa : acm",,70
71,infomaster-an information integration tool,"om duschka , mr genesereth",,,71
72,mining generalized association rules,"r srikant , r agrawal",,1995.0,72
73,query optimization for parallel execution,"sgw hasan , r krishnamurthy",acm sigmod,,73
74,representing uncertainty in spatial databases,"e tã ¸ ssebro , m nygã ¥ rd","submitted for publication ,",,74
75,engineering federated information systems : report of efis '99 workshop .,acms anthology,"sigmod record ,",1999.0,75
76,guest editorial,c allocchio,"computer networks ,",2000.0,76
77,schneider : multi-step processing of spatial joins,"t brinkhoff , hp kriegel","proc . acm-sigmod intl. conf . on management of data , & hellip ; ,",,77
78,very large data bases,"r ng , j han","proceedings of the 20th international conference on very & hellip ; ,",,78
79,rate-based query optimization,"s viglas , j naughton","acm sigmod ,",,79
80,automating physical database design in a parallel database system,"j rao , c zhang , g lohman , n megiddo",,2002.0,80
81,data management for pervasive computing,"m cherniack , mj franklin , sb zdonik","& hellip ; international conference on very large data bases table of & hellip ; ,",2001.0,81
82,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j",proc . acm sigmod int &#39; l conf . management of,,82
83,temporal support in database management systems,"g introduction , p statement",,,83
84,editorial,p willis,"bt technology journal ,",2000.0,84
85,optimization of nonrecursive queries,"r krishnamurthy , h boral , c zaniolo","vldb ,",1986.0,85
86,access path selection in a relational database management system,"pg selinger , mm astrahan , dd chamberlin","sigmod conference ,",1979.0,86
87,a model for active object oriented databases,", t milo","vldb ,",1991.0,87
88,functional-join processing,"r braumandl , j claussen , a kemper , d kossmann","the vldb journal the international journal on very large & hellip ; ,",2000.0,88
89,clustering categorical data : an approach based on dynamical systems,"d gibson , j kleinberg , p raghavan","the vldb journal the international journal on very large & hellip ; ,",2000.0,89
90,what is knowledge management,"ro barclay , pc murray",,,90
91,sampling large databases for association rules,h toivonen,"vldb ,",1996.0,91
92,bilvideo video database management system,"o ulusoy , c alper",,,92
93,data base management systems security and ingres,"d downs , gj popek","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0,93
94,an application of judgemental modelling for strategic decision making in an international,ian hipkin,"electronic markets ,",1999.0,94
95,dbcache : a project on database caching support for web applications,c mohan,,,95
96,probabilistic message passing in peer data management systems,"p cudre-mauroux , k aberer , a feher",,,96
97,selective information dissemination in p2p networks,"m koubarakis , c tryfonopoulos , s idreos , y drougas","acm sigmod record ,",,97
98,xquery : a query language for xml,"s boag , d chamberlin , m fernandez , d florescu , j",,,98
99,managing uncertainty in moving objects databases,o wolfson,"acm transactions on database systems ( tods ) ,",,99
100,sigcas chair 's message,cd martin,"computers and society ,",,100
101,extended algebra and calculus for nested relational databases,"ar mark , fk henery","acm trans on database systems ,",,101
102,the design and implementation of grid database services in ogsa-dai,"m antonioletti , m atkinson , r baxter , a borley ,",,,102
103,database management systems in 1990,jl berg,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0,103
104,efficiently instantiating view-objects from remote relational databases,"bs lee , g wiederhold","the vldb journal the international journal on very large & hellip ; ,",1994.0,104
105,advanced xml data processing :,k aberer,"sigmod record ,",2001.0,105
106,an efficient algorithm for mining association in large databases,"a savasere , e omiecinski , s navathe",,,106
107,incomplete information in object-oriented databases,r zicari,"sigmod record ,",1990.0,107
108,interactive query and search in semistructured databases,"r goldman , j widom","lecture notes in computer science ,",1999.0,108
109,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","vldb ,",2000.0,109
110,standardization and database systems,eh sibley,"vldb ,",,110
111,an introduction to the unified data language udl,cj date,"proceedings 6th international conference on vldb ( montreal ,",,111
112,a data model and data structures for moving objects databases,"e nardelli , m schneider , l forlizzi , rh gã 1/4 ting","acm sigmod ,",,112
113,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,,113
114,the x-tree : an index structure for highdimensional data . 22nd vldb,"s berchtold , da keim , hp kriegel","mumbai ( bombay ) , india , sept ,",,114
115,research directions,"w kim , j garza , a keskin",,1995.0,115
116,a multibase transaction model for interbase,"a elmagarmid , y leu , w litwin , m rusinkiewicz","proc . of the 16th international conference on vldb ,",,116
117,report from the nsf workshop on workflow and process automation in information systems,"a sheth , d georgakopoulos , s joosten , m","sigmod record ,",1996.0,117
118,database research at la trobe university,j zeleznikow,"sigmod record ,",1992.0,118
119,mesh optimization,"h hugues , t derose , t duchampâ ? ¦",,1992.0,119
120,interview with authors,e larson,"san diego ,",,120
121,temporal support in database management systems,"g introduction , p statement",,,121
122,cost-driven evaluation of vertical class partitioning in object oriented databases ï ?,"cw bay , h kowloon",,,122
123,the ansa project and standards,aj herbert,"acm press frontier series ,",1990.0,123
124,a data base management system design philosophy,tj cook,"proceedings of the 1975 acm sigmod international conference & hellip ; ,",1975.0,124
125,analysis of functional active databases,"j bailey , a poulovassilis",,,125
126,multimedia database management systems ( panel ),s christodoulakis,"sigmod conference ,",,126
127,ensuring relaxed atomicity for flexible transactions in multidatabase systems,"a zhang , m nodine , b bhargava , o bukhres","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,127
128,query flocks : a generalization of association rules,"d tsur , s abbiteboul , c clifton , r motwani , s","& hellip ; of acm sigmod conference on management of data ( sigmodâ ?? 98 & hellip ; ,",,128
129,guest editor 's introduction,f highland,"ieee expert : intelligent systems and their applications ,",1994.0,129
130,"strehlo. , â ?? why decision support fails and how to fix itâ ?? , reprinted in",r kimball,"sigmod record ,",,130
131,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,131
132,the r * - tree : an efficient and robust access method for points and rectangles,"n beckermann , h kriegel , r schneider","proc . acm sigmod int &#39; l conf . on management of data , atlantic",,132
133,metrics for accessing heterogeneous data : is there any hope ?,l seligman,"proceedings of the international conference on very large & hellip ; ,",1995.0,133
134,disima : a distributed and interoperable image database system,"v oria , mt ã?zsu , pj iglinski , s lin , b yao","proceedings of the 2000 acm sigmod international conference & hellip ; ,",2000.0,134
135,semantics of query languages for network databases,k subieta,"acm transactions on database systems ,",1985.0,135
136,object placement in parallel object-oriented database systems,"s ghandeharizadeh , d wilhite , k lin , x zhao",,,136
137,querying atsql databases with temporal logic,"j chomicki , d toman , mh bohlen","acm transactions on database systems ,",2001.0,137
138,design and implementation of the glue-nail database system,"mads morishita , g phippst",,,138
139,continuous queries over data streams,"s balu , j widom",,,139
140,mehrotra . 2001 . locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , m pazzani",proceedings of 2001 acm sigmod international conference on,,140
141,vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng","proceedings of the international conference on very large & hellip ; ,",2001.0,141
142,what is the data warehousing problem ? ( are materialized views the answer ? ),"a gupta , is mumick","proceedings of the 22th international conference on very & hellip ; ,",1996.0,142
143,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources [ a ] , dayal u , gray pmd ,","rm tork , p schwarz","proceedings of the 23rd international conference on very & hellip ; ,",1997.0,143
144,guest editorial,m jarke,"the vldb journal the international journal on very large & hellip ; ,",1998.0,144
145,source international conference on management of data archive,"s mehrotra , t sellis","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,145
146,answering queries using views : a survey,yh alon,the international journal on very large data,,146
147,database tuning : principles,"d shasha , p bonnet","experiments and troubleshooting techniques , morgan kaufmann ,",,147
148,masking system crashes in database application programs,"jc freytag , f cristian","vldb ,",1987.0,148
149,specific features of a deductive object-oriented database language ã?ã?ã ? ã?ã ?,"k yokota , h tsuda , y morita",proc . acm sigmod workshop on combining declarative and,,149
150,parametric query optimization,j madhavan,,,150
151,schedulingreal-time transactions : a performance evaluation,rah garcia-molina,"acm transactions on database systems ,",,151
152,a database management system for the federal courts,"jr buchanan , rd fennell , h samet","acm transactions on database systems ,",1984.0,152
153,optimization of constrained frequent set queries with2-variable constraints,"lvs lakshmanan , r ngâ ? ¦",proc . sigmod,,153
154,temporal inegrity constraints in relational databases,j chomicki,,,154
155,indexing and retrieval of video based on spatial relation sequences,"s daä?taå ? , a ghafoor","proceedings of the seventh acm international conference on & hellip ; ,",1999.0,155
156,bhunt : automatic discovery of fuzzy algebraic constraints in relational data,"pg brown , pj haas","proceedings of the international conference on very large & hellip ; ,",2003.0,156
157,sqlj : java and relational databases,g clossman,,1998.0,157
158,mining association rules,"r agrawal , r srikant","proc . of the 21 stvldb conf . zurich switzerland ,",,158
159,concurrency control for system with data broadcast,"m au , e chan , k lam",,,159
160,knowledge discovery in data warehouses,t palpanas,"sigmod record ,",2000.0,160
161,grid-based indexing for large time series databases,"j an , h chen , k furuse , n ohbo , e keogh",,,161
162,query optimization for parallel execution,"sg ghk , w hasan , r krishnamurthy",proceedings of the acm sigmod international conference on,,162
163,the indiana center for database systems,j copler,"acm sigmod record ,",1991.0,163
164,template-based wrappers in the tsimmis system ( system demonstration ),"j hammer , h garcia-molina , s nestorov , r yerneni ,","proc . of acm sigmod conf . on management of data , tucson , & hellip ; ,",,164
165,using probabilistic models for selectivity estimation,"l getoor , b taskar , d koller",proceedings of acm sigmod international conference on,,165
166,mesh optimization,"h hugues , t derose , t duchampâ ? ¦",,1992.0,166
167,first order normal form for relational databases and multidatabases,"w litwin , ma ketabchi","sigmod record ,",1991.0,167
168,implementation of schema evolution in object-oriented databases,"j banerjee , wk semantics","proceedings of the 1987 acm sigmod intenational conference & hellip ; ,",,168
169,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori","acm transactions on database systems ,",2003.0,169
170,advances in databases and information systems,"a caplinskas , j eder",,,170
171,query optimization at the crossroads ( panel session ),s chaudhuri,proc . 1997 acm sigmod int . conf . on management of,,171
172,simultaneous optimization and evaluation of multiple dimension queries,"y zhao , pm deshpande , jf naughton , a shukla","proc . acm-sigmod ,",,172
173,mariposa : a wide-area distributed database system . volume 5,"m stonebraker , pm aoki , w litwin , a pfeer , a sah ,",,1996.0,173
174,scale in remote sensing and gis,da quattrichi,,1997.0,174
175,mining system audit data : opportunitiesandchallenges,"w lee , w fan","sigmod record ,",,175
176,c2p : clustering based on closest pairs,"a nanopoulos , y theodoridis , y manolopoulos","proceedings of the international conference on very large & hellip ; ,",2001.0,176
177,hydro : a heterogeneous distributed database system,", j rajkumar , p ram",,,177
178,the nu-prolog deductive database system,"k ramamohanarao , j shepherd , i balbin , g port , l","halstead artificial intelligence series ,",1989.0,178
179,answering xml queries over heterogeneous data sources,i manolescu,"proceedings of the international conference on very large & hellip ; ,",2001.0,179
180,query optimization at the crossroads ( panel session ),s chaudhuri,proc . 1997 acm sigmod int . conf . on management of,,180
181,querying time series data based on similarity,"d rafiei , ao mendelzon","ieee transactions on knowledge and data engineering ,",2000.0,181
182,an evaluation of vertical class partitioning for query processing in object-oriented databases,"c fung , k karlapalem , q li","ieee transactions on knowledge and data engineering ,",2002.0,182
183,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0,183
184,design and implementation of spatiotemporal database query processing system,"dh kim , kh ryu , ch park","journal of systems and software ,",2002.0,184
185,update propagation protocols for replicated databases,"y breitbart , r komondoor , r rastogi , s seshadri , a",,,185
186,modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , ts naos-e-cient","proceedings of the 20th international conference on very & hellip ; ,",,186
187,semantics for update rule programs and implementation in a relational database management system,"l raschid , j lobo",,1996.0,187
188,"on the design and implementation of information systems from deductive conceptual models , 15 thint",a olive,"conf . on vldb , amsterdam ,",,188
189,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0,189
190,grid data servicesâ ?? relational database management systems,"b collins , a borley , n hardman , a knox , s laws , j",,2002.0,190
191,maintenance of data cubes and summary tables in a warehouse,"ismd quass , bs mumick","i > proc . acm sigmod int &#39; l conf . management of data , < / i ,",1997.0,191
192,the piazza peer data management system,"ay halevy , zg ives , j madhavan , p mork , d suciu , i","ieee transactions on knowledge and data engineering ,",2004.0,192
193,towards a semantic view of an extended entity-relationship model,"m gogolla , u hohenstein","acm transactions on database systems ,",1991.0,193
194,selectivity estimation using probabilistic models,"l getoor , b taskar , d koller",,,194
195,guest editor,a dogac,"acm sigmod record special section on electronic commerce ,",,195
196,a peer to peer ( p2p ) architecture for dynamic workflow management,"gj fakas , b karakostas","information and software technology ,",2004.0,196
197,"n , l. libkin , incremental maintenance of views with duplicates",t gri,"proceedings of the acm-sigmod conference ,",,197
198,advances in databases and information systems,"a caplinskas , j eder",,,198
199,on the minimization of xpath queries,s bottcher,,,199
200,efficiently mining long patternsfrom databases,r bayardo,"proc . of the acm sigmod conference ,",,200
201,quality-driven integration of heterogeneous information systems,"f naumann , u leser , jc freytag","proceedings of the international conference on very large & hellip ; ,",1999.0,201
202,dimensionalityreduction for similarity searching in dynamic databases,"a singh , d agrawal , kvr kanth",acm,,202
203,privacy-preserving association rule mining,"sj rizvi , jr haritsa","proc . of the 28th intâ ?? l conference on very large databases ,",,203
204,on-line reorganization of sparsely-populated b trees,"c zou , b salzberg","proc acm sigmod conference ,",,204
205,maximal objects and the semantics of universal relation databases .,"r source , m zentralblatt","acm trans . database syst ,",1983.0,205
206,a territorial database management system,"f antonacci , p dell ` orco , a turtur","proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0,206
207,foreword,syw su,"the vldb journal the international journal on very large & hellip ; ,",1995.0,207
208,efficient processing of interactive relational data base queries expressed in logic,dhd warren,"vldb ,",1981.0,208
209,automation in information extraction and data integration,s sarawagi,"vldb ,",,209
210,temporal database system implementations,mh bohlen,"acm sigmod record ,",,210
211,parametric query optimization,"ye ioannidis , rt ng , k shim , tk sellis","the vldb journal the international journal on very large & hellip ; ,",1997.0,211
212,research issues in databases for active rapidly changing data systems arcs,a datta,"acm sigmod record ,",,212
213,autoadmin â ?? whatifâ ?? index analysis utility,"s chaudhuri , v narasayya","proceedings of the 1998 acm sigmod international conference & hellip ; ,",,213
214,optimization and evaluation of array queries,"r ritsch , p baumann","submitted for publication ,",,214
215,effective clustering of complex data in object-oriented database systems,"j cheng , ar hurson","proceedings acm sigmod , pages ,",,215
216,approximate frequency counts over data streams,"gs manku , r motwani","vldb ,",2002.0,216
217,a connectionist approach to continuous speech recognition,jp martens,procs forwiss/crim esprit,,217
218,dynamic and load-balanced task-oriented datbase query processing in parallel systems .,acms anthology,,,218
219,improving the availability of internet2 applications and services,"g carpenter , g goldszmidt",,,219
220,administering a distributed database management system,h walker,acm-sigmod,,220
221,stochastic query optimization in distributed databases,"pe drenick , ej smith","acm transactions on database systems ( tods ) ,",1993.0,221
222,editors ' notes,"c knapper , s piccinin","new directions for teaching and learning ,",,222
223,the convex polyhedra technique : an index structure for high-dimensional space,j an,,,223
224,the r - tree : an efficient and robust access methodforpointsandrectangles,"n beckmann , hp kriegel , r schneider , b seeger",proc . 1990 acm-sigmodint . conf . management of,,224
225,agent-based semantic interoperability in infosleuth,"j fowler , b bargmeyer","sigmod record ,",1999.0,225
226,the role of integrity constraints in database interoperation,"mww vermeer , pmg apers",,1996.0,226
227,demonstration of hyper-programming in javaâ ? cents,"e zirintsis , gnc kirby , r morrison",,,227
228,efficiency in instantiating objects from relational databases through views,bs lee,,,228
229,anecientalgorithmforminingassociationrules in large databases,"a savasere , e omiecinski , sb navathe","proceedings of the 21st international conference on very & hellip ; ,",,229
230,cure : an efficient clustering algorithm for large database,"s guha , r rastogi , k shim","proc . acm sigmod int . conf . on management of data , seattle , & hellip ; ,",,230
231,resource scheduling in enhanced pay-per-view,"mn garofalakis , a silberschatz",,,231
232,implementation of logic query languages for databases,j ullman,acm trans . on database systems,,232
233,incomplete information in relational temporal databases,"sk gadia , ss nair , yc poon","proceedings of the international conference on very large & hellip ; ,",1992.0,233
234,answering queries with aggregation using views,"d sristava , s dar , hv jagadish , a levy","proc . of intl. conf . on very large data bases ,",,234
235,exploratory mining via constrained frequent set queries ( demo ),r ngâ ? ¦,proc . 1999 acm sigmod conf . on management of,,235
236,an extensible database system for spatio-temporal queries,"c chen , h wang , c zaniolo","submitted for publication ,",,236
237,22nd biennal international conference on carbon,"h orikasa , t suzuki , t kyotani , a tomita , r martin","san diego ,",,237
238,dynamic load balancing for parallel association rule mining on heterogeneous pc cluster systems,"m tamura , m kitsuregawa","proceedings of the international conference on very large & hellip ; ,",,238
239,design and implementation of advanced knowledge processing in the kbms krisys,j thomas,"sigmod record ,",1995.0,239
240,the r + - tree : a dynamic index for multi-dimensional data,"t sellis , n roussopoulos , c faloutsos","proceedings of vldb 1987 ,",,240
241,query flocks : a generalization of association rules,"d tsur , s abbiteboul , c clifton , r motwani , s","& hellip ; of acm sigmod conference on management of data ( sigmodâ ?? 98 & hellip ; ,",,241
242,editorial,"pd o'brien , pj kearney","bt technology journal ,",1999.0,242
243,online query processing,"jm hellerstein , pj haas","proceedings of the acm sigmod international conference on & hellip ; ,",,243
244,read-onlytransactions in a distributeddatabase,hgmg wiederhold,"acm tods ,",,244
245,the middleware muddle,g huston,,,245
246,optimizing queries across diverse data sources,"kd haaslm , yj wimmersel","proc . ofvery large data bases conference ,",,246
247,an architecture and data model for cad databases,ap buchmann,"vldb ,",1985.0,247
248,multimedia database management systems,b prabhakaran,,,248
249,watermarking relational databases,"r agrawal , j kiernan","vldb ,",2002.0,249
250,systems management of operational support systems applications,"sm bouch , ic hayes , tj oldham","bt technology journal ,",1997.0,250
251,odefs : a file system interface to an object-oriented database,"nh gehani , hv jagadish , wd roome","proceedings of the 20th international conference on very & hellip ; ,",1994.0,251
252,taking issue : guest editor 's introduction,hj levesque,"computational intelligence ,",,252
253,continously adaptive continuous query over streams,s maddenâ ? ¦,"proc . acm intl. conf . on management of data ( sigmod ) , p171 - & hellip ; ,",,253
254,"pp. 1â ?? 12 . dietterich , dj 1994 . dec data distributor : for data replication and data warehousing",a canada,"int . conf ,",,254
255,inderpa l singh mumick . supporting multiple view maintenance policies,"ls colby , a kawaguchi , df lieuwen",proceedings of the international conference on management of,,255
256,the architecture of an active data base management system,"dr mecartny , u dayal","proc . acm sigmod , portland ,",,256
257,xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data,"s berger , f bry , s schaffert , c wieser","proceedings of the international conference on very large & hellip ; ,",2003.0,257
258,query-initiated discovery of interesting association rules,"j yoon , l kerschberg",,,258
259,database patchwork on the internet,"r braumandl , a kemper , d kossmann","sigmod conference ,",1999.0,259
260,java and relational databases : sqlj,"g clossman , p shaw","sigmod record ,",1998.0,260
261,laks vs lakshmanan . a foundation for multi-dimensional database,m gyssens,"proceedings of the 23rd vldb conference , athens , greece ,",,261
262,secure concurrency control in firm real-time database systems,"b george , jr haritsa","distributed and parallel databases ,",2000.0,262
263,gigascope : a stream database for network applications,"cd cranor , t johnson , v shkapenyuk","sigmod conference ,",2003.0,263
264,grid data servicesâ ?? relational database management systems,"b collins , a borley , n hardman , a knox , s laws , j",,2002.0,264
265,parallel data mining for association rules on shared-memory systems,"mj zaki , s parthasarathy , m ogihara","data mining and knowledge discovery ,",1998.0,265
266,editor 's notes,r diem,"social studies and the young learner ,",,266
267,content-based image retrieval,t chiueh,proceedings of the international conference on very large,,267
268,tertiary storage support for large-scale multidimensional array database management systems,"b reiner , k hahn",,,268
269,architectural issues in distributed data base systems,"cv ramamoorthy , gs ho , t kirshnarao , bw wah","vldb ,",1977.0,269
270,locking protocols for concurrency control in real-time database systems,"sl hung , ky lam","acm sigmod record ,",1992.0,270
271,form-based proxy caching for database-backed web sites,"q luo , jf naughton","proceedings of the international conference on very large & hellip ; ,",2001.0,271
272,distinct sampling for highly-accurate answers to distinct values queries and event reports,pb gibbons,"vldb ,",2001.0,272
273,monitoring streamsâ ?? a new class of dbms applications,"d carney , m cherniack",,,273
274,editorsâ ?? notes,"l yorks , e kasl","new directions for adult and continuing education ,",2002.0,274
275,iterative dynamic programming : a new class of query optimization algorithms,"d kossmann , k stocker","acm transactions on database systems ,",2000.0,275
276,querying sliding windows over on-line data streams,l golab,,,276
277,view maintenance in a warehousing environment,"y zhung , mh garcia , j hammerâ ? ¦","proceedings of the acm sigmod international conference on & hellip ; ,",,277
278,the new frontier of technology transfer .,"ga erickson , dr baldwin","new directions for higher education ,",1988.0,278
279,optimization of nested queries revisited,"ra ganski , hkt wong",proceedings of acm sigmod international conference on,,279
280,set-derivability of multidimensional aggregates,"j albrecht , h guenzel , w lehner",,,280
281,ande . teniente . materialized view selection in a multidimensional database,"e baralis , s paraboschi",proc . of the 23rd vldb,,281
282,issues in networked data management in the next millennium,"ml brodie , s chaudhuri",,,282
283,java/xml for scientific data,r williams,,,283
284,performance of parallel applications on a shared-memory multiprocessor system,ss thakkar,"acm press frontier series ,",1990.0,284
285,an effective hash based algorithm for mining associative rules,"j park , m chen , p yu",acm sigmod,,285
286,grid data management systems & services,"a jagatheesan , r moore","proceedings of the international conference on very large & hellip ; ,",2003.0,286
287,join synopses for approximate query answering,"s acharya , pb gibbons",,,287
288,including group-by in query optimization,s chaudhuri,"vldb ,",1994.0,288
289,database research at the university of twente,"pmg apers , h balsters , hm blanken , ra de by , maw","acm sigmod record ,",1993.0,289
