,title,authors,venue,year,unique_id
134,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch",vldb,2001,134
135,semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , s chen , x lu , x ma , a vaschillo , a shaposhnikov , d vasilevsky",vldb,2000,135
136,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,136
137,coalescing in temporal databases,"m bіhlen , r snodgrass , m soo",vldb,1996,137
138,on efficiently implementing schemasql on an sql database system,"l lakshmanan , f sadri , s subramanian",vldb,1999,138
139,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,139
140,dimensionality reduction for similarity searching in dynamic databases,"k kanth , d agrawal , a singh",sigmod conference,1998,140
141,vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian",vldb,2001,141
142,materialized views and data warehouses,n roussopoulos,sigmod record,1998,142
143,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","m roth , p schwarz",vldb,1997,143
144,editorial,,,2001,144
145,report on the 4th international conference on mobile data management,,,2003,145
146,answering queries with aggregation using views,"d srivastava , s dar , h jagadish , a levy",vldb,1996,146
147,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,147
148,paradise : a database system for gis applications,p team,sigmod conference,1995,148
149,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994,149
150,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002,150
151,parallelising oodbms traversals : a performance evaluation,"d dewitt , j naughton , j shafer , s venkataraman",vldb j.,1996,151
152,act-net - the active database management system manifesto : a rulebase of adbms features,,sigmod record,1996,152
153,efficient approximation of optimization queries under parametric aggregation constraints,"s guha , d gunopulos , n koudas , d srivastava , m vlachos",vldb,2003,153
154,the role of integrity constraints in database interoperation,"m vermeer , p apers",vldb,1996,154
155,storage and retrieval of xml data using relational databases,,,2001,155
156,bhunt : automatic discovery of fuzzy algebraic constraints in relational data,"p brown , p haas",vldb,2003,156
157,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,157
158,data mining with optimized two-dimensional association rules,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,2001,158
159,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,159
160,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d rossum",vldb,1998,160
161,similarity-based queries for time series data,"d rafiei , a mendelzon",sigmod conference,1997,161
162,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,162
163,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,163
164,template-based wrappers in the tsimmis system,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,1997,164
165,selectivity estimation using probabilistic models,"l getoor , b taskar , d koller",sigmod conference,2001,165
166,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,166
167,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,167
168,index configuration in object-oriented databases,e bertino,vldb j.,1994,168
169,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,169
170,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002,170
171,query optimization for xml,"j mchugh , j widom",vldb,1999,171
172,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,172
173,mocha : a self-extensible database middleware system for distributed data sources,"m rodriguez-martinez , n roussopoulos",sigmod conference,2000,173
174,large databases for remote sensing and gis,a dasgupta,vldb,1996,174
175,warehousing workflow data : challenges and opportunities,"a bonifati , f casati , u dayal , m shan",vldb,2001,175
176,c2p : clustering based on closest pairs,"a nanopoulos , y theodoridis , y manolopoulos",vldb,2001,176
177,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,177
178,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,178
179,answering xml queries on heterogeneous data sources,"i manolescu , d florescu , d kossmann",vldb,2001,179
180,query optimization at the crossroads ( panel ),s chaudhuri,sigmod conference,1997,180
181,providing database-like access to the web using queries based on textual similarity,w cohen,sigmod conference,1998,181
182,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,182
183,guest editor 's introduction,,,2002,183
184,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,184
185,update propagation protocols for replicated databases,"y breitbart , r komondoor , r rastogi , s seshadri , a silberschatz",sigmod conference,1999,185
186,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,186
187,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,187
188,"the glue-nail deductive database system : design , implementation , and evaluation","m derr , s morishita , g phipps",vldb j.,1994,188
189,reminiscences on influential papers,,,2003,189
190,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,190
191,maintenance of automatic summary tables,"w lehner , r sidle , h pirahesh , r cochrane",sigmod conference,2000,191
192,the wasa2 object-oriented workflow management system,"g vossen , m weske",sigmod conference,1999,192
193,an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,193
194,selectivity estimation in spatial databases,"s acharya , v poosala , s ramaswamy",sigmod conference,1999,194
195,guest editorial,,,2000,195
196,a case for dynamic view management,"y kotidis , n roussopoulos",acm trans . database syst .,2001,196
197,fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",acm trans . database syst .,2002,197
198,the database and information system research group at the university of ulm,"p dadam , w klas",sigmod record,1997,198
199,minimization of tree pattern queries,"s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001,199
200,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,200
201,querying heterogeneous information sources using source descriptions,"a levy , a rajaraman , j ordille",vldb,1996,201
202,dimensionality reduction for similarity searching in dynamic databases,"k kanth , d agrawal , a singh",sigmod conference,1998,202
203,maintaining data privacy in association rule mining,"s rizvi , j haritsa",vldb,2002,203
204,on-line reorganization of sparsely-populated b + trees,"c zou , b salzberg",sigmod conference,1996,204
205,on the semantics of `` now '' in databases,"j clifford , c dyreson , t isakowitz , c jensen , r snodgrass",acm trans . database syst .,1997,205
206,the mariposa distributed database management system,j sidell,sigmod record,1996,206
207,"title , foreword",,,1994,207
208,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach,c koch,vldb,2003,208
209,data extraction and transformation for the data warehouse,c squire,sigmod conference,1995,209
210,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,210
211,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994,211
212,research issues for data communication in mobile ad-hoc network database systems,"l fife , l gruenwald",sigmod record,2003,212
213,autoadmin ` what-if ' index analysis utility,"s chaudhuri , v narasayya",sigmod conference,1998,213
214,optimization of queries with user-defined predicates,"s chaudhuri , k shim",acm trans . database syst .,1999,214
215,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,215
216,approximate frequency counts over data streams,"g manku , r motwani",vldb,2002,216
217,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995,217
218,dynamic multi-resource load balancing in parallel database systems,"e rahm , r marek",vldb,1995,218
219,improving data access of j2ee applications by exploiting asynchronous messaging and caching services,"s kounev , a buchmann",vldb,2002,219
220,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,220
221,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,221
222,editor 's notes,m franklin,sigmod record,1998,222
223,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"n katayama , s satoh",sigmod conference,1997,223
224,m-tree : an efficient access method for similarity search in metric spaces,"p ciaccia , m patella , p zezula",vldb,1997,224
225,agent-based semantic interoperability in infosleuth,"j fowler , b perry , m nodine , b bargmeyer",sigmod record,1999,225
226,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003,226
227,hyper-programming in java,"e zirintsis , g kirby , r morrison",vldb,1999,227
228,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,228
229,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,229
230,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,230
231,resource scheduling in enhanced pay-per-view continuous media databases,"m garofalakis , b жzden , a silberschatz",vldb,1997,231
232,safe query languages for constraint databases,p revesz,acm trans . database syst .,1998,232
233,coalescing in temporal databases,"m bіhlen , r snodgrass , m soo",vldb,1996,233
234,theory of answering queries using views,a halevy,sigmod record,2000,234
235,exploratory mining via constrained frequent set queries,"r ng , l lakshmanan , j han , t mah",sigmod conference,1999,235
236,chorochronos : a research network for spatiotemporal database systems,"a frank , s grumbach , r gќting , c jensen , m koubarakis , n lorentzos , y manolopoulos , e nardelli , b pernici , h schek , m scholl , t sellis , b theodoulidis , p widmayer",sigmod record,1999,236
237,report on the 4th international conference on mobile data management,,,2003,237
238,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,238
239,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms,"y shyy , j arroyo , s su , h lam",vldb j.,1996,239
240,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,"g qian , q zhu , q xue , s pramanik",vldb,2003,240
241,mining generalized association rules,"r srikant , r agrawal",vldb,1995,241
242,e-services - guest editorial,,,2001,242
243,partial results for online query processing,"v raman , j hellerstein",sigmod conference,2002,243
244,distributed transactions in practice,"p ram , l do , p drew",sigmod record,1999,244
245,the new middleware,r finkelstein,sigmod record,1995,245
246,optimizing multi-feature queries for image databases,"u gќntzer , w balke , w kieпling",vldb,2000,246
247,a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000,247
248,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,248
249,supporting top-k join queries in relational databases,"i ilyas , w aref , a elmagarmid",vldb,2003,249
250,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,250
251,exact : an extensible approach to active object-oriented databases,"o dэaz , a jaime",vldb j.,1997,251
252,guest editor 's introduction,,,2003,252
253,continuous queries over data streams,"s babu , j widom",sigmod record,2001,253
254,dec data distributor : for data replication and data warehousing,d dietterich,sigmod conference,1994,254
255,supporting multiple view maintenance policies,"l colby , a kawaguchi , d lieuwen , i mumick , k ross",sigmod conference,1997,255
256,open object database management systems,,,1994,256
257,xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data,"s berger , f bry , s schaffert , c wieser",vldb,2003,257
258,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,258
259,database patchwork on the internet,"r braumandl , a kemper , d kossmann",sigmod conference,1999,259
260,java and relational databases : sqlj ( tutorial ),,,1998,260
261,t2 : a customizable parallel database for multi-dimensional data,"c chang , a acharya , a sussman , j saltz",sigmod record,1998,261
262,improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996,262
263,tribeca : a stream database manager for network traffic analysis,m sullivan,vldb,1996,263
264,grid data management systems & services,,,2003,264
265,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,265
266,editor 's notes,m franklin,sigmod record,1998,266
267,falcon : feedback adaptive loop for content-based retrieval,"l wu , c faloutsos , k sycara , t payne",vldb,2000,267
268,the multidimensional database system rasdaman,"p baumann , a dehmel , p furtado , r ritsch , n widmann",sigmod conference,1998,268
269,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,269
270,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,270
271,enabling dynamic content caching for database-driven web sites,"k candan , w li , q luo , w hsiung , d agrawal",sigmod conference,2001,271
272,distinct sampling for highly-accurate answers to distinct values queries and event reports,p gibbons,vldb,2001,272
273,monitoring streams - a new class of data management applications,"d carney , u чetintemel , m cherniack , c convey , s lee , g seidman , m stonebraker , n tatbul , s zdonik",vldb,2002,273
274,editor 's notes,j widom,sigmod record,1996,274
275,design and analysis of parametric query optimization algorithms,s ganguly,vldb,1998,275
276,scheduling for shared window joins over data streams,"m hammad , m franklin , w aref , a elmagarmid",vldb,2003,276
277,view maintenance in mobile computing,"o wolfson , a sistla , s dao , k narayanan , r raj",sigmod record,1995,277
278,the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002,278
279,on the minimization of xpath queries,"s flesca , f furfaro , e masciari",vldb,2003,279
280,explaining differences in multidimensional aggregates,s sarawagi,vldb,1999,280
281,materialized view selection and maintenance using multi-query optimization,"h mistry , p roy , s sudarshan , k ramamritham",sigmod conference,2001,281
282,issues in network management in the next millennium,"m brodie , s chaudhuri",vldb,1999,282
283,archiving scientific data,"p buneman , s khanna , k tajima , w tan",sigmod conference,2002,283
284,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems,"s cha , s hwang , k kim , k kwon",vldb,2001,284
285,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995,285
286,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,286
287,join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,287
288,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002,288
289,research in database engineering at the university of namur,j hainaut,sigmod record,2003,289
290,cost-based optimization of decision support queries using transient views,"s subramanian , s venkataraman",sigmod conference,1998,290
291,distributed transactions in practice,"p ram , l do , p drew",sigmod record,1999,291
292,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994,292
293,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,293
294,a formal perspective on the view selection problem,"r chirkova , a halevy , d suciu",vldb,2001,294
295,databases and visualization,d keim,sigmod conference,1996,295
296,chair 's message,,,2003,296
297,online aggregation,"j hellerstein , p haas , h wang",sigmod conference,1997,297
298,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,298
299,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002,299
300,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,300
301,probview : a flexible probabilistic database system,"l lakshmanan , n leone , r ross , v subrahmanian",acm trans . database syst .,1997,301
302,performance issues in incremental warehouse maintenance,"w labio , j yang , y cui , h garcia-molina , j widom",vldb,2000,302
303,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994,303
304,optimizing queries over multimedia repositories,"s chaudhuri , l gravano",sigmod conference,1996,304
305,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,305
306,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,306
307,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994,307
308,form-based proxy caching for database-backed web sites,"q luo , j naughton",vldb,2001,308
309,dynamic multidimensional histograms,"n thaper , s guha , p indyk , n koudas",sigmod conference,2002,309
310,improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996,310
311,a monte carlo algorithm for fast projective clustering,"c procopiuc , m jones , p agarwal , t murali",sigmod conference,2002,311
312,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,312
313,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,313
314,the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,314
315,a multimedia presentation algebra,"s adali , m sapino , v subrahmanian",sigmod conference,1999,315
316,control strategies for complex relational query processing in shared nothing systems,"l brunie , h kosch",sigmod record,1996,316
317,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,317
