,name,addr,city,phone,type,class,unique_id
128,campanile,' 624 s. la brea ave. ',` los angeles ',213-938-1447,californian,4,128
129,` morton  's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667,129
130,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,130
131,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,131
132,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,132
133,` chin  's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,chinese,67,133
134,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595,134
135,' 103 west ',' 103 w. paces ferry rd. ',atlanta,404-233-5993,continental,675,135
136,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,136
137,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,137
138,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,138
139,` ritz-carlton dining room ( san francisco ) ',' 600 stockton st. ',` san francisco ',415-296-7465,` french ( new ) ',110,139
140,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728,140
141,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670,141
142,postrio,' 545 post st. ',` san francisco ',415-776-7825,californian,109,142
143,` mayflower cuisinier ',' 4750 w. sahara ave. ',` las vegas ',702-870-8432,chinese,663,143
144,` campo santo ',' 240 columbus ave. ',` san francisco ',415-433-9623,mexican,724,144
145,` hugo  's cellar ',' 202 e. fremont st. ',` las vegas ',702-385-4011,continental,661,145
146,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,616,146
147,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670,147
148,` spago ( los angeles ) ',' 8795 sunset blvd. ',` w. hollywood ',310-652-4025,californian,20,148
149,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',39,149
150,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,674,150
151,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,151
152,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,152
153,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,674,153
154,mifune,' 1737 post st. ',` san francisco ',415-922-0337,japanese,107,154
155,fringale,' 570 fourth st. ',` san francisco ',415-543-0573,` french bistro ',101,155
156,'till erman the ',' 2245 e. flamingo rd. ',` las vegas ',702-731-4036,steakhouses,73,156
157,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,157
158,'em erald garden restaurant ',' 1550 california st. ',` san francisco ',415-673-1155,vietnamese,730,158
159,` masa  's ',' 648 bush st. ',` san francisco ',415-989-7154,` french ( new ) ',106,159
160,` four seasons ','99 e. 52nd st. ',` new york city ',212-754-9494,` american ( new ) ',34,160
161,` buccaneer bay club ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7350,continental,657,161
162,montrachet,' 239 w. broadway ',` new york city ',212-219-2777,` french bistro ',49,162
163,` yujean kang  's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22,163
164,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665,164
165,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665,165
166,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83,166
167,` island spice ',' 402 w. 44th st. ',` new york city ',212-765-1737,caribbean,37,167
168,` tu lan ',' 8 sixth st. ',` san francisco ',415-626-0927,vietnamese,750,168
169,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43,169
170,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,170
171,bacchanalia,' 3125 piedmont rd. ',atlanta,404-365-0410,californian,75,171
172,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,172
173,` spago ( los angeles ) ',' 8795 sunset blvd. ',` w. hollywood ',310-652-4025,californian,20,173
174,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,174
175,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,175
176,` michael  's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,176
177,` rae  's ',' 2901 pico blvd. ',` santa monica ',310-828-7937,diners,589,177
178,picholine,'35 w. 64th st. ',` new york city ',212-724-8585,mediterranean,53,178
179,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,179
180,` jo jo ',' 160 e. 64th st. ',` new york city ',212-223-5656,` french bistro ',38,180
181,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,181
182,riviera,' 519 e. paces ferry rd. ',atlanta,404-262-7112,mediterranean,712,182
183,` gramercy tavern ','42 e. 20th st. ',` new york city ',212-477-0777,` american ( new ) ',36,183
184,` michael  's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,184
185,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,185
186,` morton  's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667,186
187,dawat,' 210 e. 58th st. ',` new york city ',212-355-7555,indian,32,187
188,` trio cafe ',' 1870 fillmore st. ',` san francisco ',415-563-2248,american,749,188
